title,date_published,news_outlet,article_link,summary,text,Sentiment_Score
Best Stock to Buy Right Now: Apple vs. Chipotle,2025-05-31 22:00:00,Yahoo,https://finnhub.io/api/news?id=4501b08fa57a0992a1ab58af2d22016d5d8c28c1075ae18d663a2f42c568c08d,"Chipotle has had more consistent annual growth rates than Apple.  Meanwhile, Apple is currently right in the crosshairs of more tariffs.  The clearer path for future growth at Chipotle makes it more appealing.","Chipotle has had more consistent annual growth rates than Apple.  Meanwhile, Apple is currently right in the crosshairs of more tariffs.  The clearer path for future growth at Chipotle makes it more appealing.",0.2776118218898773
Where the Stock Market Stands Now After a Wild Start to the Year,2025-05-31 20:00:07,Yahoo,https://finnhub.io/api/news?id=627480b3dc41e957bc55d7f2abf0d70d50f0344b5d440b54d36dc453a4484076,"(Bloomberg) -- The stock market’s crazy first five months of 2025 have left Wall Street pros in a bit of a pickle. Most Read from BloombergBillionaire Steve Cohen Wants NY to Expand Taxpayer-Backed FerryNow With Colorful Blocks, Tirana’s Pyramid Represents a Changing AlbaniaNYC Congestion Toll Brings In $216 Million in First Four MonthsThe Economic Benefits of Paying Workers to MoveWhere the Wild Children’s Museums AreComing off the best month for the S&P 500 Index in a year and a half and the b","(Bloomberg) -- The stock market’s crazy first five months of 2025 have left Wall Street pros in a bit of a pickle. Most Read from BloombergBillionaire Steve Cohen Wants NY to Expand Taxpayer-Backed FerryNow With Colorful Blocks, Tirana’s Pyramid Represents a Changing AlbaniaNYC Congestion Toll Brings In $216 Million in First Four MonthsThe Economic Benefits of Paying Workers to MoveWhere the Wild Children’s Museums AreComing off the best month for the S&P 500 Index in a year and a half and the b",0.37079212069511414
47% of Berkshire Hathaway's $276 Billion Warren Buffett-Led Portfolio Is Invested in 3 Dividend Stocks,2025-05-31 19:30:00,Yahoo,https://finnhub.io/api/news?id=c4de5351dcac4420cc10d76e35d0975c0480d983513d922632b0a43644c7f310,"Apple has developed an ecosystem of tech devices that its customers love and are willing to trade up to have.  American Express has numerous earnings streams, and a younger cohort of cardholders is driving growth.  Coca-Cola's business has proven resilient under pressure, and it reliably boosts its dividends.","Apple has developed an ecosystem of tech devices that its customers love and are willing to trade up to have.  American Express has numerous earnings streams, and a younger cohort of cardholders is driving growth.  Coca-Cola's business has proven resilient under pressure, and it reliably boosts its dividends.",0.06281985156238079
These Are Stocks You Should Watch in June,2025-05-31 19:00:00,Yahoo,https://finnhub.io/api/news?id=a6169a1e7ec907c72deaa014071f49bd0c2c243b18165b12c9bb50dd0e088a0b,"Stocks soared in May, boosted by easing trade tensions, solid corporate earnings and signs of economic resilience. Trade and tax policy are likely to remain Wall Street's focus in June.","Stocks soared in May, boosted by easing trade tensions, solid corporate earnings and signs of economic resilience. Trade and tax policy are likely to remain Wall Street's focus in June.",0.07709493115544319
"Warren Buffett Holds Apple Stock Despite Tariffs and Buys a Restaurant Stock Up 4,500% in 15 Years",2025-05-31 16:40:00,Yahoo,https://finnhub.io/api/news?id=e015ab59f6f96c5e37b4978a2909af5ab4f67697ccb9767821ff4ba660a44172,"Warren Buffett's Berkshire Hathaway continued to hold Apple and added to its stake in Domino’s Pizza in the first quarter.  Apple stock looks expensive with earnings increasing just 8% in the second quarter, and tariffs could slow profit growth even further.  Warren Buffett manages the vast majority of Berkshire Hathaway's stock portfolio, and the company made interesting capital allocation decisions concerning Apple (NASDAQ: AAPL) and Domino's Pizza (NASDAQ: DPZ) in the first quarter.","Warren Buffett's Berkshire Hathaway continued to hold Apple and added to its stake in Domino’s Pizza in the first quarter.  Apple stock looks expensive with earnings increasing just 8% in the second quarter, and tariffs could slow profit growth even further.  Warren Buffett manages the vast majority of Berkshire Hathaway's stock portfolio, and the company made interesting capital allocation decisions concerning Apple (NASDAQ: AAPL) and Domino's Pizza (NASDAQ: DPZ) in the first quarter.",0.41717156022787094
Trump’s trade war is bruising Apple — and your 401(k),2025-05-31 16:00:04,Yahoo,https://finnhub.io/api/news?id=d5d2117a126dfc081258b714482c6358035e84c9272d7c2ab5416d9e7d89f321,President Donald Trump’s swipes at Apple aren’t just bruising the company’s bottom line — they may also be taking a bite out of your 401(k).,President Donald Trump’s swipes at Apple aren’t just bruising the company’s bottom line — they may also be taking a bite out of your 401(k).,0.5351671255193651
"Judge Weighs Big Changes to Google, Including Breakup, AI Limits",2025-05-31 05:35:17,Yahoo,https://finnhub.io/api/news?id=f56a5e9b02c19c815944e83dac9bb51bd35e77d7df14693d76dbbfde2a1bd223,"(Bloomberg) -- The federal judge who will decide how to limit Google’s monopoly in search is considering its advantage in artificial intelligence, and aiming to minimize harm to the other players in the market with any resolution. Most Read from BloombergNow With Colorful Blocks, Tirana’s Pyramid Represents a Changing AlbaniaBillionaire Steve Cohen Wants NY to Expand Taxpayer-Backed FerryNYC Congestion Toll Brings In $216 Million in First Four MonthsThe Economic Benefits of Paying Workers to Mov","(Bloomberg) -- The federal judge who will decide how to limit Google’s monopoly in search is considering its advantage in artificial intelligence, and aiming to minimize harm to the other players in the market with any resolution. Most Read from BloombergNow With Colorful Blocks, Tirana’s Pyramid Represents a Changing AlbaniaBillionaire Steve Cohen Wants NY to Expand Taxpayer-Backed FerryNYC Congestion Toll Brings In $216 Million in First Four MonthsThe Economic Benefits of Paying Workers to Mov",0.6867148727178574
US Smartphone Manufacturing Is a 'Dream': IDC's Popal,2025-05-31 04:58:59,Yahoo,https://finnhub.io/api/news?id=06e130ae4ed075c18cf859b87de11d192724585fba088f1631887e3a699d0410,"Smartphone manufacturing in the US is a ""dream,"" says Nabila Popal, IDC senior research director. She discusses her research with Ed Ludlow on ""Bloomberg Technology.""","Smartphone manufacturing in the US is a ""dream,"" says Nabila Popal, IDC senior research director. She discusses her research with Ed Ludlow on ""Bloomberg Technology.""",0.9012398272752762
Elon Musk's renewed 'laser focus' on Tesla is his 'redemption arc',2025-05-31 04:44:38,Yahoo,https://finnhub.io/api/news?id=1e8a27343835640d04cc22e490d4463bd879aa34e2d53e48e622c1feb5069441,"Elon Musk is back at Tesla (TSLA) after serving as a special government employee leading US President Trump's Department of Government Efficiency (DOGE). Intelligent Alpha founder and CEO Doug Clinton joins Market Domination with Josh Lipton, Josh Schafer, and Macro Talk News founder Hope King to compare Musk's place at Tesla with the other innovative drives seen from other historic tech executives. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.","Elon Musk is back at Tesla (TSLA) after serving as a special government employee leading US President Trump's Department of Government Efficiency (DOGE). Intelligent Alpha founder and CEO Doug Clinton joins Market Domination with Josh Lipton, Josh Schafer, and Macro Talk News founder Hope King to compare Musk's place at Tesla with the other innovative drives seen from other historic tech executives. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.",0.8269706889986992
Apple Rebound Likely as Court Blocks Tariff Sell-Off Catalyst,2025-05-31 03:34:50,Yahoo,https://finnhub.io/api/news?id=44e3c071b64b8afefbc2833865afe217bcc558afb6028e5a8fc9bb9c5902965d,"Court Blocks Trump Tariffs, Apple Set to Surge from Sell-Off","Court Blocks Trump Tariffs, Apple Set to Surge from Sell-Off",0.0579835120588541
The fate of Google's search empire is now up to a judge,2025-05-31 03:05:30,Yahoo,https://finnhub.io/api/news?id=0cba09f8d007fbb9d385ca539936ebab31bb3d8651d68cbfb253b1d041884a29,Google will have to wait for a US judge to decide if the company should be forced to sell off its Chrome browser.,Google will have to wait for a US judge to decide if the company should be forced to sell off its Chrome browser.,0.6096703186631203
Apple: China Sales Collapse Is Only Getting Worse,2025-05-31 02:12:14,SeekingAlpha,https://finnhub.io/api/news?id=e5bdcdbe14050a438664ea3fc5c5749d7bdea18c87b2c16a77b2d63c3097d8af,Apple Inc.'s challenges in China grow with declining sales and rising supply chain risk. Click for how AAPL's services remains a bright spot in a gloomy picture.,Apple Inc.'s challenges in China grow with declining sales and rising supply chain risk. Click for how AAPL's services remains a bright spot in a gloomy picture.,0.5082190381363034
4 Dividend-Paying Dow Jones Growth Stocks to Buy in June and Hold for Decades,2025-05-30 23:02:00,Yahoo,https://finnhub.io/api/news?id=a6a0e1c5c7d6d606cb8a3a2c9c0e11d3ca0c1a2d42b65ddffdf2accf6971618b,"Apple could be heavily impacted by tariffs, but the long-term investment thesis is sound.  Microsoft continues to fire on all cylinders and deserves to be near an all-time high.  Visa and American Express benefit from network effects that help them steadily grow over time.","Apple could be heavily impacted by tariffs, but the long-term investment thesis is sound.  Microsoft continues to fire on all cylinders and deserves to be near an all-time high.  Visa and American Express benefit from network effects that help them steadily grow over time.",0.11329033225774765
Apple Sees Small Rebound in China Shipments,2025-05-30 22:41:09,Yahoo,https://finnhub.io/api/news?id=8167eff64d15ae32bebca821ffa71f27ddf035d4e66c0d88979b97c12adbfc1a,"Foreign-branded phone volume rises to 3.52 million units in April, up 0.6% y/y","Foreign-branded phone volume rises to 3.52 million units in April, up 0.6% y/y",0.03346605319529772
Trump's tariffs and threatened trade actions,2025-05-30 22:18:18,Finnhub,https://finnhub.io/api/news?id=eb6a81269f5603288ce514208df68ace86e69736c8d299d3824cc1b3cef1ae11,"A federal appeals court on Thursday temporarily reinstated U.S.President Donald Trump's most sweeping tariffs, just a day after a trade court ruled that Trumphad overstepped his authority in...","A federal appeals court on Thursday temporarily reinstated U.S.President Donald Trump's most sweeping tariffs, just a day after a trade court ruled that Trumphad overstepped his authority in...",0.49507987312972546
How The Fed And Uncertainty Can Push The S&P 500 Into A Correction,2025-05-30 21:29:36,SeekingAlpha,https://finnhub.io/api/news?id=ce699c6f78f540dd5d3dc5165ee13812bdcaf6fca434f1f1aaebeaa3f1176720,"Is the S&P 500 overvalued? Discover why economic risks and high P/E ratios signal a potential 7%-10% correction, plus opportunities for gains in 2026!","Is the S&P 500 overvalued? Discover why economic risks and high P/E ratios signal a potential 7%-10% correction, plus opportunities for gains in 2026!",0.5569126158952713
Latest News In Cloud AI - AI Market Transformation Drives Growth and Innovation,2025-05-30 20:39:32,Yahoo,https://finnhub.io/api/news?id=0f32ce7557ce7c6ed56e737401b379b311affd28e02276a0208b52137816ec05,"The global Artificial Intelligence (AI) market is set for a significant transformation, with its value projected to soar from USD 371.71 billion in 2025 to USD 2,407.02 billion by 2032. Key drivers of this growth include the increased adoption of autonomous AI technologies, advancements in deep learning and machine learning, and enhanced computing power. Concurrently, the development of edge AI capabilities is promoting real-time data processing and decision-making, vital for sectors such as...","The global Artificial Intelligence (AI) market is set for a significant transformation, with its value projected to soar from USD 371.71 billion in 2025 to USD 2,407.02 billion by 2032. Key drivers of this growth include the increased adoption of autonomous AI technologies, advancements in deep learning and machine learning, and enhanced computing power. Concurrently, the development of edge AI capabilities is promoting real-time data processing and decision-making, vital for sectors such as...",0.1438891962170601
Mag 7 valuations before & after Nvidia earnings: Chart of the Day,2025-05-30 19:30:13,Yahoo,https://finnhub.io/api/news?id=55a97fcc92abbdff92fb8db236afd2b9892fb4a8c492308218984379604b73c6,"Now that Nvidia's (NVDA) earnings are in the books, Yahoo Finance host Julie Hyman takes a look at what Big Tech's valuations and forward price-to-earnings (P/E) ratios look like right now, particularly for the ""Magnificent Seven."" To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here.","Now that Nvidia's (NVDA) earnings are in the books, Yahoo Finance host Julie Hyman takes a look at what Big Tech's valuations and forward price-to-earnings (P/E) ratios look like right now, particularly for the ""Magnificent Seven."" To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here.",0.9354922361671925
FEPI Vs. QDTE: Both Funds Offer A Unique Value Proposition,2025-05-30 18:50:23,SeekingAlpha,https://finnhub.io/api/news?id=a53e9b0689da4a27714ddad72dc8f14bdff81ff0334429f74adb995aa432b559,,,0.361842080950737
Foreign-branded mobile phone sales in China edge up in April,2025-05-30 18:13:46,Yahoo,https://finnhub.io/api/news?id=74e3059cfd82ca8142a9855e31a3bfe0dad255f7ae2cf937bccbbd235629fa9d,"BEIJING (Reuters) -Sales of foreign-branded mobile phones in China, including Apple Inc's iPhones, edged up in April, according to data released by a government-affiliated research company on Friday.  Calculations based on the data from the China Academy of Information and Communications Technology (CAICT) showed that April shipments of foreign-branded phones in China rose to 3.52 million units from 3.50 million a year earlier.  As the largest foreign mobile phone maker in China's smartphone-dominated market, Apple's performance plays a significant role in the overall data on foreign-branded phone sales in the country.","BEIJING (Reuters) -Sales of foreign-branded mobile phones in China, including Apple Inc's iPhones, edged up in April, according to data released by a government-affiliated research company on Friday.  Calculations based on the data from the China Academy of Information and Communications Technology (CAICT) showed that April shipments of foreign-branded phones in China rose to 3.52 million units from 3.50 million a year earlier.  As the largest foreign mobile phone maker in China's smartphone-dominated market, Apple's performance plays a significant role in the overall data on foreign-branded phone sales in the country.",0.04219631850719452
Smartphone Sales Growth Hit by Tariff ‘Whirlwind of Uncertainty’,2025-05-30 17:15:53,Yahoo,https://finnhub.io/api/news?id=2c2cd77c4357fbd0eda400c4ffc809241bc3ebe040e1a01be184b7cf2ec096e7,"(Bloomberg) -- Sales of Apple Inc.’s iPhone and its closest rivals are expected to take a significant blow from the Trump administration’s new tariff policy unveiled in April.Most Read from BloombergNYC Congestion Toll Brings In $216 Million in First Four MonthsNow With Colorful Blocks, Tirana’s Pyramid Represents a Changing AlbaniaThe Economic Benefits of Paying Workers to MoveNY Wins Order Against US Funding Freeze in Congestion FightWhy Arid Cities Should Stick TogetherTwo independent market","(Bloomberg) -- Sales of Apple Inc.’s iPhone and its closest rivals are expected to take a significant blow from the Trump administration’s new tariff policy unveiled in April.Most Read from BloombergNYC Congestion Toll Brings In $216 Million in First Four MonthsNow With Colorful Blocks, Tirana’s Pyramid Represents a Changing AlbaniaThe Economic Benefits of Paying Workers to MoveNY Wins Order Against US Funding Freeze in Congestion FightWhy Arid Cities Should Stick TogetherTwo independent market",0.5114070624113083
