title,date_published,news_outlet,article_link,summary,text,Sentiment_Score
"Trump demands 'Made in America' from automakers, Musk must set example",2025-05-31 19:01:05,Finnhub,https://finnhub.io/api/news?id=ef180f3e1e1e4bdd06eca38150eec8e08f87352f90a18ddfce6363ee0d203d89,Copyright © BusinessAMBE 2023Key takeawaysDonald Trump expects US automakers to produce complete vehicles in the US.Elon Musk is instructed to assemble complete Tesla vehicles...,Copyright © BusinessAMBE 2023Key takeawaysDonald Trump expects US automakers to produce complete vehicles in the US.Elon Musk is instructed to assemble complete Tesla vehicles...,0.893057145178318
Trump thanks Musk who officially steps down from role DOGE,2025-05-31 17:01:04,Finnhub,https://finnhub.io/api/news?id=e60bf4ecf5a537fcab109bae213ddebcf80ce2deeffd1b177af493d619f072d3,"Copyright © BusinessAMBE 2023Key takeawaysElon Musk is officially stepping down from his role as head of the Department of Government Efficiency.Musk will refocus on his business ventures,...","Copyright © BusinessAMBE 2023Key takeawaysElon Musk is officially stepping down from his role as head of the Department of Government Efficiency.Musk will refocus on his business ventures,...",0.930980397388339
"Tesla: Despite 'Woke Mob,' Musk To Better U.S. Again",2025-05-31 08:01:00,SeekingAlpha,https://finnhub.io/api/news?id=2d69c6e6a5dd8a47fcf1dda519940653cc95556f9213be71f04c96eb95b84331,,,0.3430798202753067
China Schools the West on EVs,2025-05-31 08:00:00,Yahoo,https://finnhub.io/api/news?id=6da7bc782da6f771cba530079cf96060198035845b7f55bc31df7d3afeacddbd,"Foreign automakers have lost significant market share in China, as local manufacturers now dominate over two-thirds of the market.","Foreign automakers have lost significant market share in China, as local manufacturers now dominate over two-thirds of the market.",0.5089570190757513
"Trump Says He Is Having Elon Musk Over At The White House Tomorrow For A Press Conference As Billionaire Exits Government: 'This Will Be His Last Day, But Not Really...'",2025-05-31 07:42:06,Yahoo,https://finnhub.io/api/news?id=6256ba0e069e7a3fe9d4ac5bb110d1fbca057f4d1b338cd5168589326934c375,"On Thursday night, President Donald Trump said that he will host Elon Musk at the White House on Friday to mark the Tesla Inc. (NASDAQ:TSLA) CEO's departure from his official role leading the administration's Department of Government Efficiency. What Happened: In a post on Truth Social, Trump said, ""I am having a Press Conference tomorrow at 1:30 P.M. EST, with Elon Musk, at the Oval Office. This will be his last day, but not really, because he will, always, be with us, helping all the way. Elon","On Thursday night, President Donald Trump said that he will host Elon Musk at the White House on Friday to mark the Tesla Inc. (NASDAQ:TSLA) CEO's departure from his official role leading the administration's Department of Government Efficiency. What Happened: In a post on Truth Social, Trump said, ""I am having a Press Conference tomorrow at 1:30 P.M. EST, with Elon Musk, at the Oval Office. This will be his last day, but not really, because he will, always, be with us, helping all the way. Elon",0.882894029840827
US court won't lift judge's block on Trump's government overhaul,2025-05-31 05:16:20,Finnhub,https://finnhub.io/api/news?id=575c8612b8f88002e4a28ec1a5887f69467da5fda7e925ff527748497f3bf3d7,A U.S. appeals court on Fridayrefused to pause a judge's ruling blocking President DonaldTrump's administration from carrying out mass layoffs of federalworkers and a restructuring of government...,A U.S. appeals court on Fridayrefused to pause a judge's ruling blocking President DonaldTrump's administration from carrying out mass layoffs of federalworkers and a restructuring of government...,0.5037820376455784
"The Score: E.l.f. Beauty, Tesla, Nvidia, and More Stocks That Defined the Week",2025-05-31 05:15:00,Yahoo,https://finnhub.io/api/news?id=42f07d5242a7e58a58d88c27ccc7c0a05ce48df19fe7f80342489206b8ab1142,"Beauty  is acquiring Hailey Bieber’s beauty brand, giving the cosmetics company’s stock a major glow-up.  The cosmetics company also posted stronger-than-forecast quarterly results, and said it was unable to provide annual guidance due to tariff uncertainty.  Elon Musk  is out of Washington and back to work.","Beauty  is acquiring Hailey Bieber’s beauty brand, giving the cosmetics company’s stock a major glow-up.  The cosmetics company also posted stronger-than-forecast quarterly results, and said it was unable to provide annual guidance due to tariff uncertainty.  Elon Musk  is out of Washington and back to work.",0.5817399304360151
Elon Musk's renewed 'laser focus' on Tesla is his 'redemption arc',2025-05-31 04:44:38,Yahoo,https://finnhub.io/api/news?id=1e8a27343835640d04cc22e490d4463bd879aa34e2d53e48e622c1feb5069441,"Elon Musk is back at Tesla (TSLA) after serving as a special government employee leading US President Trump's Department of Government Efficiency (DOGE). Intelligent Alpha founder and CEO Doug Clinton joins Market Domination with Josh Lipton, Josh Schafer, and Macro Talk News founder Hope King to compare Musk's place at Tesla with the other innovative drives seen from other historic tech executives. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.","Elon Musk is back at Tesla (TSLA) after serving as a special government employee leading US President Trump's Department of Government Efficiency (DOGE). Intelligent Alpha founder and CEO Doug Clinton joins Market Domination with Josh Lipton, Josh Schafer, and Macro Talk News founder Hope King to compare Musk's place at Tesla with the other innovative drives seen from other historic tech executives. To watch more expert insights and analysis on the latest market action, check out more Market Domination here.",0.8269706889986992
Tesla Stock Ends a Wonderful May With a Loss,2025-05-31 04:29:00,Yahoo,https://finnhub.io/api/news?id=09be57517454b95d42f7858d164ee0fae59b82a0123cb631e6da9bc618d4578c,"Investors have bid up the stock in anticipation of the company’s June robo-taxi service launch in Austin, Texas.","Investors have bid up the stock in anticipation of the company’s June robo-taxi service launch in Austin, Texas.",0.5327936261892319
What’s Next for Elon Musk After DOGE?,2025-05-31 04:19:47,Yahoo,https://finnhub.io/api/news?id=d0d7cb4d558be3bd67bd71013d51bbbdef15752ec5ac6864340a8703da5d3402,"Tesla CEO Elon Musk is returning to his hurting business empire after a turbulent stretch working with President Trump's Department of Government Efficiency, or ""DOGE."" At an Oval Office news conference Friday, both men said their relationship would continue.","Tesla CEO Elon Musk is returning to his hurting business empire after a turbulent stretch working with President Trump's Department of Government Efficiency, or ""DOGE."" At an Oval Office news conference Friday, both men said their relationship would continue.",0.547461599111557
