title,date_published,news_outlet,article_link,summary,text,Sentiment_Score
Potentially Earn 12%-15% Income: Monthly Options Series (June 2025),2025-05-31 16:30:00,SeekingAlpha,https://finnhub.io/api/news?id=1e4df0496932fa1b73a504f99abf4c36a89c9f1abaeb0b2d97462707b4596d43,Writing options does involve some learning curve and practice. Check out stocks suitable for writing options to generate consistent income for June.,Writing options does involve some learning curve and practice. Check out stocks suitable for writing options to generate consistent income for June.,0.9343288317322731
Is Nvidia's Deal With OpenAI a Game Changer?,2025-05-31 05:45:00,Yahoo,https://finnhub.io/api/news?id=dc7e17174b878e552a14f933f2e28f65f9061981d68ae3a5574fe8e6ca0d4ca6,OpenAI just gave Nvidia investors 40 billion reasons to cheer.,OpenAI just gave Nvidia investors 40 billion reasons to cheer.,0.8553090542554855
"Judge Weighs Big Changes to Google, Including Breakup, AI Limits",2025-05-31 05:35:17,Yahoo,https://finnhub.io/api/news?id=f56a5e9b02c19c815944e83dac9bb51bd35e77d7df14693d76dbbfde2a1bd223,"(Bloomberg) -- The federal judge who will decide how to limit Google’s monopoly in search is considering its advantage in artificial intelligence, and aiming to minimize harm to the other players in the market with any resolution. Most Read from BloombergNow With Colorful Blocks, Tirana’s Pyramid Represents a Changing AlbaniaBillionaire Steve Cohen Wants NY to Expand Taxpayer-Backed FerryNYC Congestion Toll Brings In $216 Million in First Four MonthsThe Economic Benefits of Paying Workers to Mov","(Bloomberg) -- The federal judge who will decide how to limit Google’s monopoly in search is considering its advantage in artificial intelligence, and aiming to minimize harm to the other players in the market with any resolution. Most Read from BloombergNow With Colorful Blocks, Tirana’s Pyramid Represents a Changing AlbaniaBillionaire Steve Cohen Wants NY to Expand Taxpayer-Backed FerryNYC Congestion Toll Brings In $216 Million in First Four MonthsThe Economic Benefits of Paying Workers to Mov",0.6867148727178574
"OpenAI Secures $11.6B For Texas Data Center Expansion, Reducing Microsoft Dependence",2025-05-31 05:15:01,Yahoo,https://finnhub.io/api/news?id=5b894372ee2fa0baabc942f98fcd0f75d7fe9dac7aadf0f16e5884a10ff3e0b5,"Zinger Points: Crusoe secures $11.6 billion to build OpenAI's massive 1.2 gigawatt Abilene, Texas data center, part of the $500 billion Project Stargate. Oracle has signed a 15-year lease to anchor the Abilene data center. Crusoe's evolution from gas-powered crypto rigs to liquid-cooled AI supercenters captures the arc of next-gen computing. AI infrastructure startup Crusoe Energy Systems has secured $11.6 billion in funding commitments to build a massive data center in Abilene, Texas, designed","Zinger Points: Crusoe secures $11.6 billion to build OpenAI's massive 1.2 gigawatt Abilene, Texas data center, part of the $500 billion Project Stargate. Oracle has signed a 15-year lease to anchor the Abilene data center. Crusoe's evolution from gas-powered crypto rigs to liquid-cooled AI supercenters captures the arc of next-gen computing. AI infrastructure startup Crusoe Energy Systems has secured $11.6 billion in funding commitments to build a massive data center in Abilene, Texas, designed",0.3691239356994629
LinkedIn cuts 281 workers in California as tech layoffs continue,2025-05-31 04:53:50,Yahoo,https://finnhub.io/api/news?id=239685c7be87b2d08aff2b549f1ce9844e8d754e5932a13a69b901351f6c56ab,"The professional social network is owned by Microsoft, which announced earlier this month that it was slashing 3% of its global workforce.","The professional social network is owned by Microsoft, which announced earlier this month that it was slashing 3% of its global workforce.",0.50778449466452
"ServiceNow Regenerates On Swarm Of AI Deals With Amazon, Microsoft And More",2025-05-31 04:00:10,Yahoo,https://finnhub.io/api/news?id=8d115103a96fe266a2f3a5b5ca85e2b6aae6c3cd8be30ddf9499bece5f677bfc,"Teaming up with AI giants like Amazon, Microsoft and others, ServiceNow stock has rebounded and stands poised to break out.","Teaming up with AI giants like Amazon, Microsoft and others, ServiceNow stock has rebounded and stands poised to break out.",0.04287600517272949
Sector Update: Tech Stocks Fall Late Afternoon,2025-05-31 03:51:21,Yahoo,https://finnhub.io/api/news?id=cbab6bcf6c993ed154bb3120aeeeb329e45175ccb19ae2dfb9b9c803c3bfa3ec,"Tech stocks were in the red late Friday afternoon, with the Technology Select Sector SPDR Fund (XLK)","Tech stocks were in the red late Friday afternoon, with the Technology Select Sector SPDR Fund (XLK)",0.5044877952896059
Exclusive-Anthropic hits $3 billion in annualized revenue on business demand for AI,2025-05-30 23:59:28,Finnhub,https://finnhub.io/api/news?id=4ae4b9ccd7d20e880df856e75921570fd2bafc5d4832b859b5f2d2844a1d7be6,"SAN FRANCISCO -Artificial intelligence developer Anthropic is making about $3 billion in annualized revenue, according to two sources familiar with the matter, in an early validation of generative AI...","SAN FRANCISCO -Artificial intelligence developer Anthropic is making about $3 billion in annualized revenue, according to two sources familiar with the matter, in an early validation of generative AI...",0.6137923300266266
Why Is Microsoft (MSFT) Up 7.8% Since Last Earnings Report?,2025-05-30 23:31:12,Yahoo,https://finnhub.io/api/news?id=53e6b61172ce0cd00abe65fd32c896d002f667f9a71fd3fc444f740895c54f47,Microsoft (MSFT) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,Microsoft (MSFT) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,0.8936551846563816
Marvell Stock Slides. Why It Could Be the Cheap AI Chip Play.,2025-05-30 23:23:00,Yahoo,https://finnhub.io/api/news?id=2d5ab5996a553284ac7011bf158d44326906170ef223e2008b97b1bf80110ab5,"The company’s earnings didn’t dispel concerns it might lose out on designing Amazon’s Trainium AI chips. Still, analysts are upbeat.","The company’s earnings didn’t dispel concerns it might lose out on designing Amazon’s Trainium AI chips. Still, analysts are upbeat.",0.5191631764173508
