year,period,revenue,netIncome,eps,totalAssets,totalLiabilities,equity
2024,FY,245122000000.0,88136000000.0,11.86,159734000000,125286000000,268477000000.0
2023,FY,211915000000.0,72361000000.0,9.72,184257000000,104149000000,206223000000.0
2022,FY,198270000000.0,72738000000.0,9.7,169684000000,95082000000,166542000000.0
2021,FY,168088000000.0,61271000000.0,8.12,184406000000,88657000000,141988000000.0
2020,FY,143015000000.0,44281000000.0,5.82,181915000000,72310000000,118304000000.0
2025,Q3,205283000000.0,74599000000.0,10.03,156644000000,114206000000,321891000000.0
2025,Q2,135217000000.0,48775000000.0,6.56,147080000000,108882000000,302695000000.0
2025,Q1,65585000000.0,24667000000.0,3.32,149926000000,115200000000,287723000000.0
2024,Q1,56517000000.0,22291000000.0,3.0,207586000000,124792000000,220714000000.0
2023,Q3,155726000000.0,52280000000.0,7.02,163889000000,85691000000,194683000000.0
2023,Q2,102869000000.0,33981000000.0,4.56,157823000000,81718000000,183136000000.0
2023,Q1,50122000000.0,17556000000.0,2.35,160812000000,87389000000,173566000000.0
2022,Q3,146405000000.0,55998000000.0,7.46,153922000000,77439000000,162924000000.0
2022,Q2,97045000000.0,39270000000.0,5.23,174188000000,77510000000,160010000000.0
2022,Q1,45317000000.0,20505000000.0,2.73,174326000000,80528000000,151978000000.0
2021,Q3,121936000000.0,44813000000.0,5.93,165614000000,72193000000,134505000000.0
2021,Q2,80230000000.0,29356000000.0,3.88,173973000000,67486000000,130236000000.0
2021,Q1,37154000000.0,13893000000.0,1.84,177077000000,70056000000,123392000000.0
2020,Q3,104982000000.0,33079000000.0,4.34,170505000000,58707000000,114501000000.0
2020,Q2,69961000000.0,22327000000.0,2.93,167074000000,59640000000,110109000000.0
2020,Q1,33055000000.0,10678000000.0,1.4,165896000000,58118000000,106061000000.0
2019,Q3,92126000000.0,26053000000.0,3.0,159887000000,53861000000,94864000000.0
2019,Q2,61555000000.0,17244000000.0,2.0,156874000000,50318000000,92128000000.0
2019,Q1,29084000000.0,8824000000.0,1.0,164195000000,56277000000,85967000000.0
2018,Q3,47338000000.0,7698000000.0,1.0,156659000000,46133000000,79239000000.0
2018,Q2,32224000000.0,274000000.0,0.0,167633000000,58099000000,78360000000.0
2018,Q1,14298000000.0,6576000000.0,0.0,161031000000,51615000000,89647000000.0
2017,Q3,43421000000.0,14691000000.0,1.0,146313000000,52005000000,69729000000.0
2017,Q2,30030000000.0,9890000000.0,1.0,144949000000,70787000000,68809000000.0
2017,Q1,20453000000.0,4690000000.0,0.0,157909000000,142152000000,70372000000.0
2016,Q3,64706000000.0,13676000000.0,1.0,128421000000,44354000000,74806000000.0
2016,Q2,44175000000.0,9618000000.0,1.0,127812000000,42643000000,76780000000.0
2016,Q1,20379000000.0,4620000000.0,0.0,121656000000,49399000000,77445000000.0
2015,Q3,71400000000.0,15388000000.0,1.0,176683000000,40748000000,90132000000.0
2015,Q2,49671000000.0,10403000000.0,1.0,174848000000,47415000000,91879000000.0
2015,Q1,23201000000.0,4540000000.0,0.0,169656000000,44694000000,90170000000.0
2014,Q3,63451000000.0,17462000000.0,2.0,156119000000,33903000000,87424000000.0
2014,Q2,43048000000.0,11802000000.0,1.0,153543000000,33742000000,85100000000.0
2014,Q1,18529000000.0,5244000000.0,0.0,142348000000,34623000000,81641000000.0
2013,Q3,57953000000.0,16898000000.0,2.0,134105000000,57417000000,76688000000.0
2013,Q2,37464000000.0,10843000000.0,1.0,128683000000,56107000000,72576000000.0
2013,Q1,16008000000.0,4466000000.0,0.0,121876000000,53040000000,68836000000.0
2012,Q3,55664000000.0,17470000000.0,2.0,118010000000,49351000000,68659000000.0
2012,Q1,17372000000.0,5738000000.0,0.0,107415000000,25543000000,59391000000.0
2011,Q3,52576000000.0,17276000000.0,2.0,99727000000,24042000000,53452000000.0
2011,Q2,36148000000.0,12044000000.0,1.0,92306000000,43825000000,48481000000.0
2011,Q1,16195000000.0,5410000000.0,0.0,91540000000,44598000000,46942000000.0
2010,Q3,46445000000.0,14242000000.0,1.0,84910000000,26424000000,45710000000.0
