year,period,revenue,netIncome,eps,totalAssets,totalLiabilities,equity
2024,FY,25785000000.0,1641000000.0,1.01,19049000000,7281000000,57568000000.0
2023,FY,22680000000.0,854000000.0,0.53,16768000000,6689000000,55892000000.0
2021,FY,16434000000.0,3162000000.0,2.61,8583000000,4240000000,7497000000.0
2020,FY,9763000000.0,2490000000.0,2.1,6143000000,2417000000,5837000000.0
2025,Q1,7438000000.0,709000000.0,0.44,21595000000,7703000000,57881000000.0
2024,Q3,18127000000.0,1159000000.0,0.72,18735000000,7500000000,56985000000.0
2024,Q2,11308000000.0,388000000.0,0.24,17465000000,6195000000,56538000000.0
2024,Q1,5473000000.0,123000000.0,0.08,17084000000,6474000000,56198000000.0
2023,Q3,16512000000.0,187000000.0,0.12,16688000000,7627000000,54970000000.0
2023,Q2,10712000000.0,-112000000.0,-0.07,16505000000,7572000000,55136000000.0
2022,Q3,18002000000.0,1299000000.0,0.84,14420000000,6691000000,54542000000.0
2022,Q2,12437000000.0,1233000000.0,0.82,13462000000,5523000000,55169000000.0
2022,Q1,5887000000.0,786000000.0,0.56,13369000000,5581000000,55333000000.0
2021,Q3,11608000000.0,2188000000.0,1.8,7988000000,3564000000,7136000000.0
2021,Q2,7295000000.0,1265000000.0,1.04,7818000000,2892000000,7065000000.0
2021,Q1,3445000000.0,555000000.0,0.46,7197000000,2864000000,6477000000.0
2020,Q3,6519000000.0,709000000.0,0.6,5500000000,2417000000,3867000000.0
2020,Q2,3718000000.0,319000000.0,0.27,5109000000,2434000000,3305000000.0
2020,Q1,1786000000.0,162000000.0,0.14,4390000000,1985000000,3037000000.0
2019,Q3,4604000000.0,171000000.0,0.16,3912000000,1864000000,2176000000.0
2019,Q2,2803000000.0,51000000.0,0.05,3754000000,1804000000,1901000000.0
2019,Q1,1272000000.0,16000000.0,0.0,4931000000,1764000000,1788000000.0
2018,Q3,5056000000.0,299000000.0,0.0,4347000000,1878000000,1125000000.0
2018,Q2,3403000000.0,197000000.0,0.0,4103000000,1868000000,879000000.0
2018,Q1,1647000000.0,81000000.0,0.0,3763000000,1697000000,715000000.0
2017,Q3,3849000000.0,-18000000.0,0.0,3586000000,1591000000,520000000.0
2017,Q2,2206000000.0,-89000000.0,0.0,3370000000,1449000000,417000000.0
2017,Q1,984000000.0,-73000000.0,0.0,3299000000,1372000000,409000000.0
2016,Q3,3166000000.0,-446000000.0,0.0,3616000000,1473000000,385000000.0
2016,Q2,1859000000.0,-40000000.0,0.0,3316000000,1581000000,-413000000.0
2016,Q1,832000000.0,-109000000.0,0.0,2981000000,1328000000,-503000000.0
2015,Q3,3033000000.0,-558000000.0,0.0,3229000000,1449000000,-336000000.0
2015,Q2,1972000000.0,-361000000.0,0.0,3381000000,1399000000,-141000000.0
2015,Q1,1030000000.0,-180000000.0,0.0,3428000000,1292000000,17000000.0
2014,Q3,4267000000.0,-39000000.0,0.0,4325000000,1566000000,535000000.0
2014,Q2,2838000000.0,-56000000.0,0.0,4246000000,1505000000,501000000.0
2014,Q1,1397000000.0,-20000000.0,0.0,4108000000,1384000000,511000000.0
2013,Q3,3710000000.0,-172000000.0,0.0,4317000000,1762000000,434000000.0
2013,Q2,2249000000.0,-220000000.0,0.0,3897000000,1451000000,359000000.0
2013,Q1,1088000000.0,-146000000.0,0.0,3797000000,1321000000,415000000.0
2012,Q3,4267000000.0,-710000000.0,0.0,4612000000,1555000000,989000000.0
2012,Q2,2998000000.0,-553000000.0,0.0,5041000000,2352000000,1117000000.0
2012,Q1,1585000000.0,-590000000.0,0.0,4988000000,2347000000,1052000000.0
2011,Q3,4877000000.0,668000000.0,0.0,5236000000,1855000000,1744000000.0
2011,Q2,3187000000.0,571000000.0,0.0,5224000000,1312000000,1641000000.0
2011,Q1,1613000000.0,510000000.0,0.0,5209000000,1375000000,1558000000.0
2010,Q3,4845000000.0,96000000.0,0.0,4595000000,1665000000,614000000.0
2010,Q2,3227000000.0,214000000.0,0.0,4955000000,1630000000,752000000.0
