year,period,revenue,netIncome,eps,totalAssets,totalLiabilities,equity
2024,FY,350018000000.0,100118000000.0,8.13,163711000000,89122000000,325084000000.0
2023,FY,307394000000.0,73795000000.0,5.0,171530000000,81814000000,283379000000.0
2022,FY,282836000000.0,59972000000.0,4.0,164795000000,69300000000,256144000000.0
2021,FY,257637000000.0,76033000000.0,113.0,188143000000,64254000000,251635000000.0
2020,FY,182527000000.0,40269000000.0,59.0,174296000000,56834000000,222544000000.0
2025,Q1,90234000000.0,34540000000.0,2.84,162052000000,91654000000,345267000000.0
2024,Q3,253549000000.0,73582000000.0,5.96,157541000000,80803000000,314119000000.0
2024,Q2,165281000000.0,47281000000.0,3.82,161995000000,77913000000,300753000000.0
2024,Q1,80539000000.0,23662000000.0,1.0,165471000000,76997000000,292844000000.0
2023,Q3,221084000000.0,53108000000.0,4.0,176310000000,86295000000,273202000000.0
2023,Q2,144391000000.0,33419000000.0,2.0,168788000000,77709000000,267141000000.0
2023,Q1,69787000000.0,15051000000.0,1.0,161985000000,68854000000,260894000000.0
2022,Q3,206788000000.0,46348000000.0,3.0,166109000000,65979000000,253626000000.0
2022,Q2,137696000000.0,32438000000.0,2.0,172371000000,61354000000,255419000000.0
2022,Q1,68011000000.0,16436000000.0,24.0,177853000000,61948000000,254004000000.0
2021,Q3,182312000000.0,55391000000.0,82.0,184110000000,61782000000,244567000000.0
2021,Q2,117194000000.0,36455000000.0,54.0,175697000000,55741000000,237565000000.0
2021,Q1,55314000000.0,17930000000.0,26.0,172137000000,55453000000,230013000000.0
2020,Q3,125629000000.0,25042000000.0,36.0,164369000000,48200000000,212920000000.0
2020,Q2,79456000000.0,13795000000.0,20.0,149069000000,43658000000,207322000000.0
2020,Q1,41159000000.0,6836000000.0,9.0,147018000000,40189000000,203659000000.0
2019,Q3,115782000000.0,23672000000.0,34.0,148358000000,39224000000,194969000000.0
2019,Q2,75283000000.0,16604000000.0,23.0,147437000000,37000000000,192192000000.0
2019,Q1,36339000000.0,6657000000.0,9.0,138207000000,34910000000,183472000000.0
2018,Q3,97543000000.0,21788000000.0,31.0,221538000000,51698000000,169840000000.0
2018,Q2,63803000000.0,12596000000.0,18.0,211610000000,49610000000,162000000000.0
2018,Q1,31146000000.0,9401000000.0,13.0,206935000000,46110000000,160825000000.0
2017,Q3,78532000000.0,15682000000.0,22.0,189536000000,32436000000,157100000000.0
2017,Q2,50760000000.0,8950000000.0,12.0,178621000000,30335000000,148286000000.0
2017,Q1,24750000000.0,5426000000.0,7.0,172756000000,27807000000,144949000000.0
2016,Q3,64208000000.0,14145000000.0,40.59,159948000000,25845000000,134103000000.0
2016,Q2,41757000000.0,9084000000.0,26.23,154292000000,26413000000,127879000000.0
2016,Q1,20257000000.0,4207000000.0,6.0,149747000000,26178000000,123569000000.0
2015,Q3,53660000000.0,11425000000.0,32.95,144281000000,18457000000,116241000000.0
