year,period,revenue,netIncome,eps,totalAssets,totalLiabilities,equity
2024,FY,164501000000.0,62360000000.0,24.61,100045000000,33596000000,182637000000.0
2023,FY,134902000000.0,39098000000.0,15.0,85365000000,31960000000,153168000000.0
2022,FY,116609000000.0,23200000000.0,8.0,59549000000,27026000000,125713000000.0
2021,FY,117929000000.0,39370000000.0,13.0,66666000000,21135000000,124879000000.0
2020,FY,85965000000.0,29146000000.0,10.0,75670000000,14981000000,128290000000.0
2025,Q1,42314000000.0,16644000000.0,6.59,90227000000,33890000000,185029000000.0
2024,Q3,116116000000.0,41522000000.0,16.37,91067000000,33330000000,164529000000.0
2024,Q2,75527000000.0,25834000000.0,10.17,76431000000,27004000000,156763000000.0
2024,Q1,36455000000.0,12369000000.0,4.86,75330000000,28101000000,149529000000.0
2023,Q3,94791000000.0,25081000000.0,9.0,78378000000,30531000000,142873000000.0
2023,Q2,60645000000.0,13498000000.0,5.0,69560000000,29921000000,134033000000.0
2023,Q1,28645000000.0,5709000000.0,2.0,52483000000,25381000000,124795000000.0
2022,Q3,84444000000.0,18547000000.0,6.0,58315000000,22687000000,124094000000.0
2022,Q2,56729000000.0,14152000000.0,5.0,55987000000,22217000000,125767000000.0
2022,Q1,27908000000.0,7465000000.0,2.0,59265000000,21086000000,123228000000.0
2021,Q3,84258000000.0,29085000000.0,10.0,75421000000,17812000000,133360000000.0
2021,Q2,55248000000.0,19892000000.0,7.0,80697000000,14874000000,138227000000.0
2021,Q1,26171000000.0,9497000000.0,3.0,77322000000,12717000000,133657000000.0
2020,Q3,57893000000.0,17927000000.0,6.0,65799000000,11944000000,117731000000.0
2020,Q2,36423000000.0,10081000000.0,3.0,68130000000,11308000000,110447000000.0
2020,Q1,17737000000.0,4902000000.0,1.0,69349000000,15069000000,105304000000.0
2019,Q3,49615000000.0,11136000000.0,3.0,62079000000,13328000000,93999000000.0
2019,Q2,31963000000.0,5045000000.0,1.0,57961000000,12979000000,88762000000.0
2019,Q1,15077000000.0,2429000000.0,0.0,109477000000,22961000000,86516000000.0
2018,Q3,38924000000.0,15230000000.0,5.0,92452000000,12110000000,80342000000.0
2018,Q2,25197000000.0,10093000000.0,3.0,90291000000,10909000000,79382000000.0
2018,Q1,11966000000.0,4988000000.0,1.0,88945000000,11325000000,77620000000.0
2017,Q3,27681000000.0,11665000000.0,4.0,78998000000,7790000000,71208000000.0
2017,Q2,17353000000.0,6959000000.0,2.0,73843000000,7362000000,66481000000.0
2017,Q1,8032000000.0,3064000000.0,1.0,68714000000,6526000000,62188000000.0
2016,Q3,18829000000.0,5944000000.0,2.0,59674000000,5559000000,54115000000.0
2016,Q2,11818000000.0,3565000000.0,1.0,55739000000,5356000000,50383000000.0
2016,Q1,5382000000.0,1510000000.0,0.0,52075000000,4925000000,47150000000.0
2015,Q3,12087000000.0,2127000000.0,0.0,46469000000,5049000000,41420000000.0
2015,Q2,7586000000.0,1231000000.0,0.0,44130000000,4678000000,39452000000.0
2015,Q1,3543000000.0,512000000.0,0.0,42007000000,4506000000,37501000000.0
2014,Q3,8615000000.0,2239000000.0,0.0,24188000000,2950000000,21238000000.0
2014,Q2,5412000000.0,1433000000.0,0.0,20769000000,2423000000,18346000000.0
2014,Q1,2502000000.0,642000000.0,0.0,19028000000,2291000000,16737000000.0
2013,Q3,5286000000.0,977000000.0,0.0,14933000000,1885000000,13048000000.0
2013,Q2,3271000000.0,552000000.0,0.0,15724000000,3375000000,12349000000.0
2013,Q1,1458000000.0,219000000.0,0.0,15163000000,3339000000,11824000000.0
2012,Q3,3504000000.0,-11000000.0,0.0,16038000000,1864000000,14174000000.0
2012,Q2,2242000000.0,48000000.0,0.0,14928000000,1619000000,13309000000.0
