year,period,revenue,netIncome,eps,totalAssets,totalLiabilities,equity
2025,FY,130497000000.0,72880000000.0,2.97,80126000000.0,18047000000.0,79327000000.0
2024,FY,60922000000.0,29760000000.0,12.05,44345000000.0,10631000000.0,42978000000.0
2023,FY,26974000000.0,4368000000.0,1.76,23073000000.0,6563000000.0,22101000000.0
2022,FY,26914000000.0,9752000000.0,3.91,28829000000.0,4335000000.0,26612000000.0
2021,FY,16675000000.0,4332000000.0,7.02,16055000000.0,3925000000.0,16893000000.0
2020,FY,10918000000.0,2796000000.0,4.59,13690000000.0,1784000000.0,12204000000.0
2026,Q1,44062000000.0,18775000000.0,0.77,89935000000.0,26542000000.0,83843000000.0
2025,Q3,91166000000.0,50789000000.0,2.07,67640000000.0,16479000000.0,65899000000.0
2025,Q2,56084000000.0,31480000000.0,1.28,59633000000.0,13969000000.0,58157000000.0
2025,Q1,26044000000.0,14881000000.0,6.04,53729000000.0,15223000000.0,49142000000.0
2024,Q3,38819000000.0,17475000000.0,7.07,32658000000.0,9101000000.0,33265000000.0
2024,Q2,20699000000.0,8232000000.0,3.33,28797000000.0,10334000000.0,27501000000.0
2023,Q3,20923000000.0,2954000000.0,1.18,23223000000.0,6855000000.0,21349000000.0
2023,Q2,14992000000.0,2274000000.0,0.91,27418000000.0,7573000000.0,23851000000.0
2023,Q1,8288000000.0,1618000000.0,0.65,29575000000.0,5562000000.0,26320000000.0
2022,Q3,19271000000.0,6749000000.0,2.71,25806000000.0,3612000000.0,23798000000.0
2022,Q2,12168000000.0,4285000000.0,1.72,25806000000.0,4448000000.0,21147000000.0
2022,Q1,5661000000.0,1912000000.0,3.08,18127000000.0,4004000000.0,18774000000.0
2021,Q3,11672000000.0,2875000000.0,4.67,14393000000.0,3669000000.0,15334000000.0
2020,Q2,6946000000.0,1539000000.0,2.5,14681000000.0,2410000000.0,13914000000.0
2020,Q1,3080000000.0,917000000.0,1.49,19584000000.0,1903000000.0,13099000000.0
2020,Q3,7813000000.0,1845000000.0,3.03,12420000000.0,1475000000.0,11214000000.0
2020,Q2,4799000000.0,947000000.0,1.56,11391000000.0,1317000000.0,10336000000.0
2020,Q1,,,,,,
2019,Q3,9511000000.0,3575000000.0,5.0,13657000000.0,4182000000.0,9475000000.0
2019,Q2,6330000000.0,2345000000.0,3.0,12882000000.0,4087000000.0,8795000000.0
2019,Q1,3207000000.0,1244000000.0,2.0,11460000000.0,3743000000.0,7717000000.0
2018,Q3,6803000000.0,1928000000.0,3.0,9830000000.0,3477000000.0,6352000000.0
2018,Q2,4167000000.0,1091000000.0,1.0,9402000000.0,3427000000.0,5973000000.0
2018,Q1,1937000000.0,507000000.0,0.0,9410000000.0,3271000000.0,6132000000.0
2017,Q3,4737000000.0,1012000000.0,1.0,9612000000.0,4243000000.0,5324000000.0
2017,Q2,2733000000.0,449000000.0,0.0,7461000000.0,2909000000.0,4480000000.0
2017,Q1,1305000000.0,196000000.0,0.0,7108000000.0,2833000000.0,4196000000.0
2016,Q3,3609000000.0,406000000.0,0.0,7174000000.0,855000000.0,4465000000.0
2016,Q2,2304000000.0,160000000.0,0.0,6979000000.0,936000000.0,4185000000.0
2016,Q1,1151000000.0,134000000.0,0.0,7291000000.0,883000000.0,4556000000.0
2015,Q3,3430993000.0,437459000.0,0.0,6885869000.0,933907000.0,4204593000.0
2015,Q2,2205611000.0,264492000.0,0.0,6933719000.0,868729000.0,4304786000.0
2015,Q1,1102787000.0,136516000.0,0.0,6864663000.0,897945000.0,4166985000.0
2014,Q3,2985944000.0,293073000.0,0.0,5711373000.0,985927000.0,4320647000.0
2014,Q2,1931977000.0,174339000.0,0.0,5569592000.0,935791000.0,4172173000.0
2014,Q1,954739000.0,77891000.0,0.0,6279527000.0,925577000.0,4824936000.0
2013,Q3,,,,,,
2013,Q2,,,,,,
2013,Q1,,,,,,
2012,Q3,,,,,,
2012,Q2,,,,,,
2012,Q1,,,,,,
2011,Q3,,,,,,
2011,Q2,,,,,,
2011,Q1,1001813000.0,137594000.0,0.24,2726980000.0,765293000.0,2860645000.0
