year,period,revenue,netIncome,eps,totalAssets,totalLiabilities,equity
2024,FY,97690000000.0,7153000000.0,2.0,58360000000,28821000000,72913000000
2023,FY,96773000000.0,14974000000.0,4.0,49616000000,28748000000,62634000000
2022,FY,10000000000.0,12587000000.0,4.0,40917000000,26709000000,44704000000
2021,FY,101050000000.0,5644000000.0,5.0,27100000000,19705000000,30189000000
2020,FY,28178000000.0,862000000.0,0.0,26717000000,14248000000,22225000000
2025,Q1,19335000000.0,420000000.0,0.0,59389000000,29753000000,74653000000
2024,Q3,71983000000.0,4821000000.0,1.0,56379000000,30577000000,69931000000
2024,Q2,46801000000.0,2638000000.0,0.0,52977000000,27729000000,66468000000
2024,Q1,21301000000.0,1144000000.0,0.0,50535000000,29453000000,64378000000
2023,Q3,71606000000.0,7031000000.0,2.0,45026000000,26640000000,53466000000
2023,Q2,7025000000.0,5153000000.0,1.0,43875000000,27592000000,51130000000
2023,Q1,3366000000.0,2539000000.0,0.0,42997000000,27436000000,48054000000
2022,Q3,6989000000.0,8880000000.0,2.0,35990000000,24611000000,39851000000
2022,Q2,4227000000.0,5549000000.0,5.0,31222000000,21821000000,36376000000
2022,Q1,1895000000.0,3280000000.0,3.0,29050000000,21455000000,34085000000
2021,Q3,32989000000.0,3301000000.0,3.0,25002000000,18051000000,27053000000
2021,Q2,20423000000.0,1642000000.0,1.0,24693000000,16371000000,24804000000
2021,Q1,9598000000.0,464000000.0,0.0,24705000000,14877000000,23017000000
2020,Q3,18392000000.0,566000000.0,0.0,21744000000,13302000000,16031000000
2020,Q2,10467000000.0,197000000.0,0.65,15336000000,12270000000,9855000000
2020,Q1,5186000000.0,68000000.0,0.09,14893000000,11986000000,9173000000
2019,Q3,14904000000.0,-907000000.0,-5.54,10940000000,10146000000,6040000000
2019,Q2,9369637000.0,-1056907000.0,-6.0,10181952000,9588773000,5715393000
2019,Q1,3833402000.0,-667645000.0,-4.0,7677822000,9242800000,4605596000
2018,Q3,14235395000.0,-1272660000.0,-6.0,7920491000,9775324000,4508838000
2018,Q2,5679746000.0,-1527333000.0,-8.0,6699797000,9141362000,3906421000
2018,Q1,2561881000.0,-784627000.0,-4.0,6383920000,8650359000,4450695000
2017,Q3,6125643000.0,-1469771000.0,-7.0,7068733000,6468940000,4711480000
2017,Q2,4048912000.0,-798608000.0,-4.0,6359444000,6546355000,5105752000
2017,Q1,2035060000.0,-397181000.0,-2.0,7027889000,6245439000,4987719000
2016,Q3,3849558000.0,-553577000.0,-3.0,5172412000,4082390000,2680488000
2016,Q2,40600000.0,-575455000.0,-4.0,5203705000,3766404000,2520294000
2016,Q1,16700000.0,-282267000.0,-2.0,3239543000,3187699000,970365000
2015,Q3,27400000.0,-568266000.0,-4.0,2998795000,2553771000,1314656000
2015,Q2,15900000.0,-338408000.0,-2.0,2628621000,2384388000,715934000
2015,Q1,6600000.0,-154181000.0,-1.0,2921417000,2192381000,825997000
2014,Q3,2236062000.0,-186411000.0,-1.0,5437533000,1839777000,958094000
2014,Q2,1389891000.0,-111702000.0,0.0,3441694000,1575850000,952333000
2014,Q1,620542000.0,-49800000.0,0.0,3156047000,1413470000,912056000
2013,Q3,1398277000.0,-57750000.0,,1218766000,1169459000,564165000
2013,Q2,966931000.0,-19254000.0,,1129542000,486545000,629426000
2013,Q1,561792000.0,11248000.0,0.0,1143778000,535623000,168583000
2012,Q3,106924000.0,-306282000.0,,809177000,385806000,-27875000
2012,Q2,56820000.0,-195476000.0,,776869000,286526000,62215000
2012,Q1,30167000.0,-89873000.0,,761100000,607226000,153874000
2011,Q3,164867000.0,-172922000.0,,700250000,406132000,294118000
2011,Q2,107201000.0,-107844000.0,,646155000,297703000,348452000
