Date,Open,High,Low,Close,Volume
2025-05-30,199.37,201.96,196.78,200.85,70753100.0
2025-05-29,203.575,203.78,198.51,199.95,51174958.0
2025-05-28,200.59,202.73,199.9,200.42,44158300.0
2025-05-27,198.3,200.74,197.43,200.21,56229000.0
2025-05-23,193.665,197.7,193.46,195.27,78432918.0
2025-05-22,200.71,202.75,199.7,201.36,46633900.0
2025-05-21,205.17,207.04,200.71,202.09,59134800.0
2025-05-20,207.67,208.47,205.03,206.86,42443700.0
2025-05-19,207.91,209.48,204.26,208.78,45310800.0
2025-05-16,212.36,212.57,209.77,211.26,53659100.0
2025-05-15,210.95,212.96,209.54,211.45,44979900.0
2025-05-14,212.43,213.94,210.58,212.33,49253000.0
2025-05-13,210.43,213.4,209.0,212.93,51759900.0
2025-05-12,210.97,211.2665,206.75,210.79,63024455.0
2025-05-09,199.0,200.54,197.54,198.53,36415700.0
2025-05-08,197.74,200.0498,194.6796,197.49,49118233.0
2025-05-07,199.195,199.44,193.25,196.25,65920024.0
2025-05-06,198.125,200.649,197.02,198.51,49201973.0
2025-05-05,203.1,204.1,198.21,198.89,68915400.0
2025-05-02,206.09,206.99,202.16,205.35,100912500.0
2025-05-01,209.08,214.56,208.9,213.32,56391200.0
2025-04-30,209.3,213.54,206.6705,212.5,50446935.0
2025-04-29,208.693,212.24,208.37,211.21,34928894.0
2025-04-28,210.06,211.5,207.46,210.14,37235797.0
2025-04-25,206.37,209.75,206.2,209.28,38198600.0
2025-04-24,204.89,208.83,202.94,208.37,47199300.0
2025-04-23,206.0,208.0,202.799,204.6,52803354.0
2025-04-22,196.07,201.55,196.0,199.74,51869389.0
2025-04-21,193.265,193.8,189.8112,193.16,46628147.0
2025-04-17,197.2,198.8335,194.42,196.98,52164675.0
2025-04-16,198.36,200.7,192.37,194.27,58802034.0
2025-04-15,201.855,203.505,199.82,202.14,50304417.0
2025-04-14,211.44,212.94,201.1621,202.52,100650083.0
2025-04-11,186.1,199.54,186.06,198.15,87300000.0
2025-04-10,189.165,194.7799,183.0,190.42,117183840.0
2025-04-09,172.179,200.61,171.89,198.85,182793290.0
2025-04-08,186.73,190.335,169.2101,172.42,119908881.0
2025-04-07,177.24,194.14,174.62,181.46,157350538.0
2025-04-04,193.89,199.88,187.34,188.38,125569000.0
2025-04-03,205.52,207.4899,201.25,203.19,102947073.0
2025-04-02,221.19,225.19,221.05,223.89,31731885.0
2025-04-01,219.805,223.49,218.9,223.19,36361327.0
2025-03-31,217.22,224.97,216.24,222.13,65078252.0
2025-03-28,221.67,223.81,217.68,217.9,39784100.0
2025-03-27,221.33,224.99,220.5601,223.85,36700954.0
2025-03-26,223.51,225.02,220.47,221.53,34436815.0
2025-03-25,220.81,224.1,220.08,223.75,34299912.0
2025-03-24,221.0,221.021,218.58,220.73,42364298.0
2025-03-21,211.56,218.84,211.28,218.27,93954500.0
2025-03-20,213.99,217.4899,212.22,214.1,48775040.0
2025-03-19,214.22,218.76,213.75,215.24,54237276.0
2025-03-18,214.14,215.15,211.49,212.69,41207689.0
2025-03-17,213.36,215.22,209.98,214.0,47841607.0
2025-03-14,211.25,213.95,209.58,213.49,60060200.0
2025-03-13,215.94,216.8394,208.42,209.68,60306872.0
2025-03-12,220.14,221.75,214.91,216.98,62466400.0
2025-03-11,223.8,225.8399,217.45,220.84,73947348.0
2025-03-10,235.48,236.16,224.22,227.48,71374783.0
2025-03-07,235.11,241.37,234.76,239.07,46245700.0
2025-03-06,234.435,237.86,233.1581,235.33,44375329.0
2025-03-05,235.42,236.55,229.23,235.74,47200800.0
2025-03-04,237.705,240.07,234.7,235.93,53101971.0
2025-03-03,241.722,244.0272,236.112,238.03,46788610.0
2025-02-28,236.95,242.09,230.2,241.84,56796200.0
2025-02-27,239.41,242.46,237.1,237.3,40535155.0
2025-02-26,244.33,244.98,239.13,240.36,43602013.0
2025-02-25,248.0,249.98,244.91,247.04,46872348.0
2025-02-24,244.808,248.86,244.59,247.1,51143732.0
2025-02-21,245.95,248.69,245.22,245.55,53119400.0
2025-02-20,244.97,246.78,244.29,245.83,31125149.0
2025-02-19,244.66,246.01,243.16,244.87,32184200.0
2025-02-18,243.91,245.18,241.84,244.47,48158313.0
2025-02-14,241.25,245.55,240.99,244.6,40896227.0
2025-02-13,236.91,242.34,235.57,241.53,53543300.0
2025-02-12,231.2,236.96,230.68,236.87,45243300.0
2025-02-11,228.2,235.23,228.13,232.62,53677600.0
2025-02-10,229.57,230.59,227.2,227.65,33035700.0
2025-02-07,232.6,234.0,227.26,227.63,39666100.0
2025-02-06,231.34,233.8,230.425,233.22,28918109.0
2025-02-05,228.49,232.67,228.3,232.47,38946842.0
2025-02-04,227.2,233.13,226.65,232.8,44489128.0
2025-02-03,229.44,231.83,225.71,228.01,70078180.0
2025-01-31,247.19,247.19,233.44,236.0,100959800.0
2025-01-30,238.665,240.79,237.21,237.59,44801575.0
2025-01-29,234.12,239.86,234.01,239.36,45375500.0
2025-01-28,230.85,240.19,230.81,238.26,75633300.0
2025-01-27,224.03,232.15,224.0,229.86,94132139.0
2025-01-24,224.78,225.63,221.41,222.78,54619500.0
2025-01-23,224.73,227.03,222.32,223.66,58538726.0
2025-01-22,219.79,224.12,219.79,223.83,64028300.0
2025-01-21,224.0,224.42,219.38,222.64,97333260.0
2025-01-17,232.115,232.29,228.48,229.98,68488301.0
2025-01-16,237.35,238.01,228.03,228.26,71604800.0
2025-01-15,234.64,238.54,234.43,237.87,39573652.0
2025-01-14,234.75,236.12,232.472,233.28,38863097.0
2025-01-13,233.5,234.67,229.72,234.4,49056366.0
2025-01-10,240.01,240.16,233.0,236.85,61679400.0
2025-01-08,241.92,243.71,240.05,242.7,37564700.0
2025-01-07,242.98,245.55,241.36,242.21,40082828.0
2025-01-06,244.33,247.33,243.84,245.0,41695027.0
2025-01-03,243.36,244.18,241.89,243.36,40202700.0
2025-01-02,248.93,249.1,241.82,243.85,55558000.0
2024-12-31,252.44,253.28,249.43,250.42,39480718.0
2024-12-30,252.23,253.5,250.75,252.2,35500300.0
2024-12-27,257.83,258.7,253.06,255.59,42317100.0
2024-12-26,258.355,260.09,257.63,259.02,27133647.0
2024-12-24,255.49,258.21,255.29,258.2,23234705.0
2024-12-23,254.77,255.65,253.45,255.27,37277559.0
2024-12-20,248.04,255.0,245.69,254.49,146890100.0
2024-12-19,247.5,252.0,247.09,249.79,59903900.0
2024-12-18,252.22,254.28,247.75,248.05,55988391.0
2024-12-17,250.135,253.81,249.79,253.48,51055731.0
2024-12-16,247.99,251.38,247.65,251.04,51665600.0
2024-12-13,247.82,249.29,246.24,248.13,33132000.0
2024-12-12,246.945,248.74,245.68,247.96,29983256.0
2024-12-11,247.945,250.8,246.2601,246.49,42854558.0
2024-12-10,246.89,248.21,245.34,247.77,36873800.0
2024-12-09,241.83,247.24,241.76,246.75,43606216.0
2024-12-06,242.91,244.63,242.08,242.84,36852100.0
2024-12-05,243.99,244.54,242.13,243.04,39961900.0
2024-12-04,242.88,244.105,241.25,243.01,41848779.0
2024-12-03,239.92,242.755,238.9003,242.65,37736685.0
2024-12-02,237.27,240.79,237.16,239.59,42439900.0
2024-11-29,234.81,237.81,233.97,237.33,28481400.0
2024-11-27,234.465,235.69,233.8101,234.93,33498439.0
2024-11-26,233.475,235.57,233.475,235.06,44991117.0
2024-11-25,231.46,233.25,229.74,232.87,89984500.0
2024-11-22,228.06,230.72,228.06,229.87,38153300.0
2024-11-21,228.88,230.16,225.71,228.52,42071900.0
2024-11-20,228.06,229.93,225.89,229.0,35112500.0
2024-11-19,226.795,230.16,226.66,228.28,34871882.0
2024-11-18,225.2,229.74,225.18,228.02,44555294.0
2024-11-15,226.4,226.92,224.27,225.0,47832200.0
2024-11-14,225.02,228.87,225.0,228.22,44880200.0
2024-11-13,224.01,226.65,222.76,225.12,48528500.0
2024-11-12,224.55,225.59,223.36,224.23,40375300.0
2024-11-11,225.0,225.7,221.5,224.23,41949000.0
2024-11-08,227.17,228.66,226.41,226.96,38308700.0
2024-11-07,224.63,227.88,224.57,227.48,42083800.0
2024-11-06,222.61,226.07,221.19,222.72,54495200.0
2024-11-05,221.795,223.945,221.795,223.45,27890524.0
